fecha,hora,consumo,met_obtencion,datetime
2022-04-20,14,0.13,Real,2022-04-20 14:00:00
2022-04-20,15,0.163,Real,2022-04-20 15:00:00
2022-04-20,16,0.168,Real,2022-04-20 16:00:00
2022-04-20,17,0.086,Real,2022-04-20 17:00:00
2022-04-20,18,0.085,Real,2022-04-20 18:00:00
2022-04-20,19,0.06,Real,2022-04-20 19:00:00
2022-04-20,20,0.076,Real,2022-04-20 20:00:00
2022-04-20,21,0.809,Real,2022-04-20 21:00:00
2022-04-20,22,0.62,Real,2022-04-20 22:00:00
2022-04-20,23,0.088,Real,2022-04-20 23:00:00
2022-04-20,24,0.076,Real,2022-04-21 00:00:00
2022-04-21,1,0.046,Real,2022-04-21 01:00:00
2022-04-21,2,0.046,Real,2022-04-21 02:00:00
2022-04-21,3,0.046,Real,2022-04-21 03:00:00
2022-04-21,4,0.038,Real,2022-04-21 04:00:00
2022-04-21,5,0.043,Real,2022-04-21 05:00:00
2022-04-21,6,0.046,Real,2022-04-21 06:00:00
2022-04-21,7,0.037,Real,2022-04-21 07:00:00
2022-04-21,8,0.051,Real,2022-04-21 08:00:00
2022-04-21,9,0.154,Real,2022-04-21 09:00:00
2022-04-21,10,0.078,Real,2022-04-21 10:00:00
2022-04-21,11,0.069,Real,2022-04-21 11:00:00
2022-04-21,12,0.113,Real,2022-04-21 12:00:00
2022-04-21,13,0.16,Real,2022-04-21 13:00:00
2022-04-21,14,0.095,Real,2022-04-21 14:00:00
2022-04-21,15,0.092,Real,2022-04-21 15:00:00
2022-04-21,16,0.122,Real,2022-04-21 16:00:00
2022-04-21,17,0.171,Real,2022-04-21 17:00:00
2022-04-21,18,0.107,Real,2022-04-21 18:00:00
2022-04-21,19,0.151,Real,2022-04-21 19:00:00
2022-04-21,20,0.096,Real,2022-04-21 20:00:00
2022-04-21,21,0.862,Real,2022-04-21 21:00:00
2022-04-21,22,0.155,Real,2022-04-21 22:00:00
2022-04-21,23,0.203,Real,2022-04-21 23:00:00
2022-04-21,24,0.057,Real,2022-04-22 00:00:00
2022-04-22,1,0.044,Real,2022-04-22 01:00:00
2022-04-22,2,0.041,Real,2022-04-22 02:00:00
